Name, value, target, %, total = 1.046704e+01
valsalva.t_ph1_hr_min,1.500e-01,2.615e+00,13
valsalva.ph4_hr_max,1.674e+00,1.330e+00,10
valsalva.t_ph4_drop,4.300e-01,9.823e-01,10
baseline.BPd,1.035e+04,1.067e+04,09
valsalva.ph4_drop,7.396e-01,9.725e-01,08
valsalva.t_ph1_peak,1.110e+00,2.902e+00,08
valsalva.SV_min_valsalva,1.814e+01,out limit,07
valsalva.ph2_mean_min,8.630e-01,1.037e+00,05
valsalva.ph2_max,9.584e-01,1.147e+00,04
valsalva.ph4_ovrshoot,1.229e+00,1.116e+00,04
exercise.Ppa_d,3.186e+03,2.000e+03,03
valsalva.t_ph4_hr_max,1.610e+00,2.256e+00,02
valsalva.ph5_recovery,9.258e-01,1.011e+00,02
tilt.BPs,1.379e+04,1.632e+04,02
tilt.CO,6.575e-05,7.680e-05,02
baseline.CO,9.719e-05,9.600e-05,01
tilt.HR,1.458e+00,1.302e+00,01
baseline.Ppad,1.112e+03,1.173e+03,01
valsalva.ph1_hr_min,1.011e+00,9.409e-01,01
valsalva.t_ph4_hr_drop,5.320e+00,6.503e+00,01
valsalva.t_ph2_mean_min,5.960e+00,8.104e+00,01
tilt.BPd,1.055e+04,1.152e+04,01
valsalva.ph4_hr_drop,8.828e-01,8.273e-01,01
baseline.EDV,1.537e-04,1.500e-04,01
baseline.BPs,1.589e+04,1.600e+04,00
baseline.HR,1.043e+00,1.067e+00,00
baseline.ESV_la,4.344e-05,4.100e-05,00
exercise.BPs,2.739e+04,2.592e+04,00
baseline.Ppas,2.703e+03,2.773e+03,00
exercise.Ppv,1.650e+03,2.000e+03,00
valsalva.t_ph4_ovrshoot,3.450e+00,3.644e+00,00
exercise.ESV,2.861e-05,3.000e-05,00
baseline.BPk,2.628e+03,2.666e+03,00
valsalva.ph5_hr_recovery,9.588e-01,9.349e-01,00
baseline.ESV,6.054e-05,6.000e-05,00
baseline.EDV_la,8.489e-05,8.700e-05,00
exercise.Ppa_s,4.870e+03,4.533e+03,00
baseline.Q_MV_f,2.014e+00,2.000e+00,00
baseline.Ppv,1.080e+03,1.067e+03,00
valsalva.ph1_peak,1.393e+00,1.400e+00,00
exercise.Ts,9.965e-02,1.800e-01,00
exercise.Td,1.773e-01,1.800e-01,00
baseline.PWV,5.416e+00, in limit,00
exercise.CO,3.426e-04, in limit,00
valsalva.baseline_bp,9.437e+01,1.155e+02,00
valsalva.baseline_hr,6.179e+01,7.082e+01,00
valsalva.SV_min_recovery,7.336e+01, in limit,00
valsalva.t_ph2_max,-1.400e+00,-2.286e+00,-2
