Name, value, target, %, total = 1.300018e+01
exercise.ESV,1.758e-05,3.000e-05,13
valsalva.t_ph1_hr_min,2.000e-02,2.615e+00,11
valsalva.ph4_drop,6.780e-01,9.725e-01,10
valsalva.SV_min_valsalva,1.629e+01,out limit,09
valsalva.ph4_hr_max,1.692e+00,1.330e+00,09
valsalva.t_ph1_peak,9.700e-01,2.902e+00,07
valsalva.ph2_mean_min,8.296e-01,1.037e+00,05
valsalva.ph2_max,9.065e-01,1.147e+00,05
valsalva.t_ph4_hr_max,1.270e+00,2.256e+00,05
exercise.Ppa_d,3.458e+03,2.000e+03,04
valsalva.ph4_ovrshoot,1.241e+00,1.116e+00,04
tilt.HR,1.580e+00,1.302e+00,04
tilt.CO,6.244e-05,7.680e-05,03
valsalva.t_ph4_drop,6.900e-01,9.823e-01,02
baseline.CO,9.749e-05,9.600e-05,02
valsalva.ph5_recovery,9.305e-01,1.011e+00,02
tilt.BPs,1.417e+04,1.632e+04,01
valsalva.ph1_hr_min,1.015e+00,9.409e-01,01
baseline.BPs,1.615e+04,1.600e+04,01
baseline.Ppad,1.124e+03,1.173e+03,01
baseline.EDV,1.541e-04,1.500e-04,01
baseline.ESV,6.164e-05,6.000e-05,01
baseline.BPd,1.059e+04,1.067e+04,00
valsalva.ph4_hr_drop,8.770e-01,8.273e-01,00
valsalva.t_ph2_mean_min,6.490e+00,8.104e+00,00
baseline.ESV_la,4.350e-05,4.100e-05,00
tilt.BPd,1.096e+04,1.152e+04,00
exercise.Ppa_s,5.183e+03,4.533e+03,00
exercise.BPs,2.488e+04,2.592e+04,00
baseline.HR,1.055e+00,1.067e+00,00
baseline.Q_MV_f,2.021e+00,2.000e+00,00
valsalva.ph5_hr_recovery,9.580e-01,9.349e-01,00
baseline.Ppas,2.741e+03,2.773e+03,00
baseline.EDV_la,8.486e-05,8.700e-05,00
exercise.Ppv,1.858e+03,2.000e+03,00
valsalva.t_ph4_hr_drop,6.290e+00,6.503e+00,00
valsalva.t_ph4_ovrshoot,3.590e+00,3.644e+00,00
valsalva.ph1_peak,1.394e+00,1.400e+00,00
baseline.Ppv,1.076e+03,1.067e+03,00
baseline.BPk,2.671e+03,2.666e+03,00
exercise.Ts,1.174e-01,1.800e-01,00
exercise.Td,1.178e-01,1.800e-01,00
baseline.PWV,5.416e+00, in limit,00
exercise.CO,3.428e-04, in limit,00
valsalva.baseline_bp,9.578e+01,1.155e+02,00
valsalva.baseline_hr,6.220e+01,7.082e+01,00
valsalva.SV_min_recovery,6.391e+01, in limit,00
valsalva.t_ph2_max,-1.080e+00,-2.286e+00,-3
