# name, value, [min, max, step]
settings.pulm_C_PA,4.82832e-09,0.050332509566498e-09,7.695631768176351e-08,2.89219e-09
settings.syst_TPR,155666800.0,15859970.0,1041606630.0,1287333.0
settings.heart_vntr_xi_AmRef,0.8717188,0.09999999999999998,1.9,0.01
settings.pulm_R,47375100.0,177777.0,112172830.0,501975.3
settings.syst_art_k_E,1.499671,0.01,1.5,0.1
settings.heart_vntr_D_A,1095.408,500,30000,50
settings.V_PV_init,0.0009357812,-1e-3,1e-3,10e-6
heart_vntr_xi_AmRef_RV,0.474375,0.1,1.9,0.01
