f_LV, vol [L], time [s], eGFR, p_int, HR, CO [L/min], CVP, PCWP (mmHg), EF, EDV ml, maxBP, Qlymph [L/day], Relative change to interstitial volume,Excess interstitial volume [L], compensated
0.9500000000000001, 0.0, 60.02000045776367, 91.80091094970703, 10.111580919925068, 64.58501815795898, 5.700009351130575, 4.232033306815454, 8.289316042058887, 59.60273742675781, NA, 98.20858698770645, 5.0587280156833, 1.0005543231964111,0.03880548683810048, True
0.9, 9.999999960041972e-09, 60.02000045776367, 91.941162109375, 10.115417305588162, 64.61122512817383, 5.702599446522072, 4.232482411151432, 8.275361303660029, 58.718955516815186, NA, 98.22204272128755, 5.060390788003133, 1.0005667209625244,0.0396707582694944, True
0.85, 0.0, 60.02000045776367, 92.04621124267578, 10.116245928267183, 64.65051412582397, 5.703958886442706, 4.2327841030550095, 8.267956804648707, 57.676488161087036, NA, 98.26043953970462, 5.059123373030161, 1.000569462776184,0.03985700823250227, True
0.8, 9.999999960041972e-09, 60.02000045776367, 92.114013671875, 10.113056875459414, 64.70540285110474, 5.703616625396535, 4.23329180612188, 8.265239288503585, 56.432557106018066, NA, 98.26394081387542, 5.054201665188884, 1.0005590915679932,0.03913443288183771, True
0.75, 0.0, 60.02000045776367, 92.14549255371094, 10.103542822135974, 64.77840185165405, 5.7009776355698705, 4.2341753651111125, 8.2653555703602, 54.93496060371399, NA, 98.28888922355274, 5.044298086431809, 1.000528335571289,0.03698107320815325, True
0.7000000000000001, 9.999999960041972e-09, 60.02000045776367, 92.13384246826172, 10.08293712778086, 64.8715353012085, 5.69539624848403, 4.234475683606934, 8.227920137371832, 53.127193450927734, NA, 98.31024846096292, 5.027973020332865, 1.0004618167877197,0.0323242784361355, True
0.65, 0.0, 60.02000045776367, 92.04696655273438, 10.056385493450536, 64.98925924301147, 5.6860460608731955, 4.232940671539112, 8.184870213479865, 50.91312527656555, NA, 98.33560706175649, 5.014018870497239, 1.0003763437271118,0.0263457877736073, True
0.6, 9.999999960041972e-09, 60.02000045776367, 91.73002624511719, 10.021583340931635, 65.14363288879395, 5.67106471862644, 4.220896343327855, 8.16589978995871, 48.1416791677475, NA, 98.36529464379473, 4.99948979495457, 1.0002646446228027,0.018523880498833023, True
0.55, 0.0, 60.02000045776367, 90.98519897460938, 9.970437636124851, 65.36303758621216, 5.646453791996464, 4.195447555425024, 8.241285226041088, 44.60093080997467, NA, 98.44417586041688, 4.971354962890473, 1.000101089477539,0.007085238394211046, True
0.5, 9.999999960041972e-09, 105.5999984741211, 87.56195068359375, 9.871891051657359, 65.80232620239258, 5.608227947959676, 4.1716596753009165, 8.255674876895785, 40.24674892425537, NA, 99.64142850579799, 4.910376003408601, 0.9997876882553101,-0.014862182069919072, True
0.45, 0.17662000027485192, 296.6199951171875, 88.2552490234375, 9.916705346712282, 65.7354998588562, 5.610308580799028, 4.224986351623091, 10.22790123195628, 34.847140312194824, NA, 99.81016355140187, 4.9017066885426175, 0.9999299049377441,-0.00490557613375131, True
0.4, 1.5431600622832775, 1663.1600341796875, 81.65324401855469, 11.469156946211521, 66.98678255081177, 5.442866968223825, 6.103508757961223, 28.691376144902005, 31.9048672914505, NA, 99.42845874321192, 4.608253925653116, 1.0051401853561401,0.3598066105041653, True
0.35000000000000003, 2.566539915278554, 2686.5400390625, 63.69827651977539, 17.30836024870708, 68.95111799240112, 4.960445658070967, 13.484891943354247, 38.21079308342772, 28.221306204795837, NA, 99.16989184315041, 3.1808097787688894, 1.0787811279296875,5.514679942280054, True
0.3, 3.0291799921542406, 3149.179931640625, 46.40406799316406, 23.19825603145017, 71.14903450012207, 4.478892224142328, 21.313719014749065, 44.55132592520364, 24.73972588777542, NA, 98.99544342128456, 1.6383040588152653, 1.5280232429504395,36.961622536182404, True
0.25, 3.200880018994212, 3320.8798828125, 40.390892028808594, 25.340629295286973, 72.67433881759644, 4.284092865418643, 24.290270849780043, 47.92879562731582, 23.146644234657288, NA, 98.8491077405642, 1.0849653847344598, 1.6384398937225342,44.690798968076706, True
0.2, 3.2597200479358435, 3379.719970703125, 39.212703704833984, 25.82390584742672, 73.590989112854, 4.222325223963708, 25.062821868179107, 49.435936673757894, 22.500941157341003, NA, 98.86084946126671, 0.9012774654593159, 1.6601767539978027,46.212367713451385, True
0.15, 3.3223999198526144, 3442.39990234375, 37.31290817260742, 26.47896274796639, 74.2682147026062, 4.157652292633429, 25.957073294589414, 50.73392419996325, 21.93937599658966, NA, 96.69791903014881, 0.7141816610101159, 1.6881837844848633,48.17286878824234, True
0.1, 3.384700044989586, 3504.699951171875, 34.96390151977539, 27.258953973978414, 74.85116243362427, 4.089344147359952, 26.9755119126532, 51.9610512108373, 21.40154540538788, NA, 98.8487634730202, 0.5095397256127399, 1.71934974193573,50.3544807434082, True
