f_LV, vol, time, eGFR, p_int, HR, CO, CVP, EF, maxBP, compensated
95, 96.72000305727124, 216.72000122070312, 90.425048828125, 10.504023029945827, 63.88674974441528, 5.857528449269012, 4.345864546191504, 0.595102071762085, 98.20858698770645, True
90, 92.80000813305378, 212.8000030517578, 90.3505630493164, 10.493801213825831, 63.95326852798462, 5.8546572108753026, 4.342583932866716, 0.5854097008705139, 98.22204272128755, True
85, 90.75999696506187, 210.75999450683594, 90.3003158569336, 10.4898338966234, 64.01585340499878, 5.853342299815267, 4.34040799717976, 0.5739789605140686, 98.26043953970462, True
80, 88.66001007845625, 208.66000366210938, 90.25164031982422, 10.478343051737523, 64.08990383148193, 5.8496791461948305, 4.337413510470656, 0.5604313611984253, 98.26394081387542, True
75, 89.36000085668638, 209.36000061035156, 90.24053192138672, 10.47315523284323, 64.15670871734619, 5.847489373991266, 4.335547964936395, 0.5439925193786621, 98.28888922355274, True
70, 92.80000813305378, 212.8000030517578, 90.26588439941406, 10.467484890024245, 64.22026634216309, 5.845232371939346, 4.3344936455829215, 0.5237056612968445, 98.31024846096292, True
65, 100.83999950438738, 220.83999633789062, 90.33346557617188, 10.46432330537158, 64.27328824996948, 5.843573453603312, 4.334514704501836, 0.49794861674308777, 98.33560706175649, True
60, 116.24000762822106, 236.24000549316406, 90.42402648925781, 10.464174977334011, 64.30969476699829, 5.842775426572189, 4.335859728496844, 0.46393975615501404, 98.36529464379473, True
55, 143.6199963791296, 263.6199951171875, 90.43848419189453, 10.465375335712128, 64.33849096298218, 5.841205129399896, 4.3359741791431174, 0.41821151971817017, 98.44417586041688, True
50, 203.10000400058925, 323.1000061035156, 89.03425598144531, 10.447130071485764, 64.7710132598877, 5.817537166876718, 4.333888430565426, 0.37228289246559143, 99.64142850579799, True
45, 1071.5400567278266, 1191.5400390625, 84.5631103515625, 10.780257447371307, 65.87545394897461, 5.7347051915712655, 4.820101786288554, 0.3436623811721802, 99.81016355140187, True
40, 2306.720009073615, 2426.719970703125, 69.80231475830078, 15.385990426373741, 67.49261856079102, 5.339708004612476, 10.466223186099725, 0.31052395701408386, 99.42845874321192, True
35, 2851.939992979169, 2971.93994140625, 52.65414810180664, 21.53448423975413, 69.53679084777832, 4.835549625568092, 18.519004535307374, 0.2735241651535034, 99.16989184315041, True
30, 3230.3400803357363, 3350.340087890625, 36.53135299682617, 27.019614782490887, 71.75836086273193, 4.3873094546142966, 25.54807612748646, 0.24093952775001526, 98.99544342128456, True
25, 3371.339989826083, 3491.340087890625, 31.698692321777344, 28.846184835867298, 73.21492195129395, 4.2214643326587975, 27.99043460686346, 0.2269175797700882, 98.8491077405642, True
20, 3428.8601018488407, 3548.860107421875, 30.522733688354492, 29.366406056624186, 74.10555839538574, 4.161252581980079, 28.76525998850527, 0.22068475186824799, 98.86084946126671, True
15, 3419.460030272603, 3539.4599609375, 32.45588684082031, 28.470592607793538, 74.55236434936523, 4.123204853385687, 27.90417544377991, 0.21696102619171143, 96.69791903014881, False
10, 3550.9199369698763, 3670.919921875, 26.45482635498047, 30.80421015473815, 75.36751985549927, 4.030759882880375, 30.690557916172875, 0.2099076807498932, 98.8487634730202, True
