f_LV, vol [L], time [s], eGFR, p_int, HR, CO [L/min], CVP, PCWP (mmHg), EF, EDV ml, maxBP, Qlymph [L/day], Relative change to interstitial volume,Excess interstitial volume [L], compensated
12.0, 1.1874600313603878, 1247.4599609375, 91.48197937011719, 10.448534609816834, 64.00000333786011, 5.686306685674936, 4.635076751299251, 26.12619655678545, 61.68581247329712, NA, 98.48017013086738, 5.002590035019239, 1.001649022102356,0.11542705033207312, True
13.0, 1.2811999768018723, 1341.199951171875, 90.64006805419922, 10.501885091873435, 64.00000333786011, 5.68081479286775, 4.695778627267302, 27.4885273207207, 61.89626455307007, NA, 98.96214469245511, 4.995445669919718, 1.0018253326416016,0.12777165102306753, True
14.0, 1.389020006172359, 1449.02001953125, 88.63932037353516, 10.663916992026353, 64.00000333786011, 5.666178767569363, 4.882769924359586, 28.80749868621645, 62.0758593082428, NA, 99.20821541315387, 4.9699227133714885, 1.0023648738861084,0.16554490139242262, True
15.0, 1.5174599830061197, 1577.4599609375, 86.90103149414062, 10.943066696313718, 64.00000333786011, 5.644223856506869, 5.213475066767394, 30.116294015850723, 62.274014949798584, NA, 99.55390397636924, 4.9245284458265814, 1.0033087730407715,0.2316088939551264, True
16.0, 1.7312000272795558, 1791.199951171875, 82.33708190917969, 11.553410018367186, 64.00000333786011, 5.595153052126989, 5.936872737210006, 31.786489693420815, 62.529003620147705, NA, 99.13469598040834, 4.821934442134079, 1.005434513092041,0.3804168081842363, True
17.0, 2.3255799897015095, 2385.580078125, 66.96499633789062, 16.378380077345636, 64.00000333786011, 5.250297981547192, 12.152191993936672, 35.42870479928294, 62.12122440338135, NA, 95.66893264052445, 3.4946974210470216, 1.0462952852249146,3.2406712416559458, True
18.0, 4.061900079250336, 1121.9000244140625, -60.632362365722656, 54.22514502599908, 64.00000333786011, 2.5443127378821373, 56.93208410019539, 62.65546975789817, 50.3648579120636, 79.02378274593502, 99.03159151340364, -2.5935331450455124, 2.1706900596618652,81.94831013679504, True
19.0, 4.211899824440479, 1271.9000244140625, -70.74839782714844, 57.17036851452686, 64.00000333786011, 2.333878946956247, 60.12628993386313, 65.44363399795232, 48.907992243766785, 74.62345820385963, 98.98441953503547, -2.804629104957712, 2.1996843814849854,83.97790044546127, True
20.0, 4.331899806857109, 1391.9000244140625, -78.37104797363281, 59.451932076335865, 64.00000333786011, 2.170389052480459, 62.62808950088883, 67.70320838599406, 47.681888937950134, 71.16597407730296, 98.96270870523995, -2.9825052251908346, 2.2226107120513916,85.58274805545807, True
21.0, 4.433100111782551, 1493.0999755859375, -84.38383483886719, 61.259809134557685, 64.00000333786011, 2.035969737335108, 64.69923234490557, 69.59781522835691, 46.47238850593567, 68.29661288065836, 98.93645647380028, -3.0966649660513212, 2.2411904335021973,86.88332885503769, True
22.0, 4.520299844443798, 1580.300048828125, -89.26193237304688, 62.84779811752749, 64.00000333786011, 1.9224462448619306, 66.477205738269, 71.27871982399753, 45.646074414253235, 65.84871880477294, 98.92202653631809, -3.2507361538591795, 2.2579147815704346,88.05403113365173, True
23.0, 4.598100204020739, 1658.0999755859375, -93.34211730957031, 64.2325667017634, 64.00000333786011, 1.823471138777677, 68.01758325238895, 72.7703505188566, 44.39229071140289, 63.69959010044113, 98.91988035779916, -3.385830802926648, 2.272831678390503,89.09821510314941, True
24.0, 4.666599910706282, 1726.5999755859375, -96.78087615966797, 65.52361394077872, 64.00000333786011, 1.736428021104075, 69.38410565679332, 74.12762897346275, 43.47723722457886, 61.79184128995985, 98.90520870055205, -3.55863173808757, 2.287081718444824,90.09569138288498, True
