f_LV, vol [L], time [s], eGFR, p_int, HR, CO [L/min], CVP, PCWP (mmHg), EF, EDV ml, maxBP, Qlymph [L/day], Relative change to interstitial volume,Excess interstitial volume [L], compensated
1.0, 0.025130009817075916, 110.26000213623047, 91.93010711669922, 10.116275227632629, 64.00000333786011, 5.708540993509814, 4.253592603955321, 8.305773129387873, 60.24799346923828, NA, 105.49884777315447, 5.046259218488558, 1.0005652904510498,0.03957160879508592, True
0.9, 0.02607001079013571, 112.13999938964844, 91.8297119140625, 10.112252058514818, 64.00000333786011, 5.707859963877127, 4.2504044667527205, 8.257786262418243, 58.552974462509155, NA, 121.19751370272724, 5.045433204031724, 1.0005524158477783,0.038663187297061086, True
0.8, 0.03216000914108008, 124.31999969482422, 91.57598114013672, 10.112960736916543, 64.00000333786011, 5.708005774067715, 4.249637647422687, 8.22877897502147, 56.17866516113281, NA, 126.29223386331589, 5.046928379215387, 1.0005545616149902,0.038822377973701805, True
0.7000000000000001, 0.04623000859282911, 152.4600067138672, 91.3580322265625, 10.112545967774448, 64.00000333786011, 5.707047530449927, 4.249742484214674, 8.252181843171513, 52.660930156707764, NA, 111.23263104316992, 5.04614994270014, 1.0005531311035156,0.038728423533029854, True
0.6, 0.07763000758131966, 215.25999450683594, 90.98648071289062, 10.115591270570498, 64.00000333786011, 5.7059469691012055, 4.252710876176428, 8.323520304401654, 46.95892632007599, NA, 98.74343225424161, 5.046743285674893, 1.000563144683838,0.03941473187296651, True
0.5, 0.15996000729501247, 219.9600067138672, 91.09503173828125, 10.125781956114707, 64.00000333786011, 5.705722142010927, 4.261945669922959, 8.881634760732005, 37.32970356941223, NA, 99.8773250218456, 5.047171487149171, 1.0005959272384644,0.04171440377831459, True
0.45, 2.077139914035797, 2137.139892578125, 71.78915405273438, 14.139723605022052, 64.00000333786011, 5.4078598623164, 8.909785041689481, 30.409304151204413, 33.001941442489624, NA, 99.57014314966771, 4.437307302396221, 1.0153895616531372,1.0772750247269869, True
0.4, 3.043700009584427, 3103.699951171875, 16.836009979248047, 30.63192805470496, 64.00000333786011, 4.230434715282172, 29.157406358056058, 41.365627894777305, 26.603171229362488, NA, 99.46822530696359, 1.1214682558602362, 1.8331563472747803,58.32092463970184, True
0.35000000000000003, 3.565259976312518, 1625.260009765625, -37.60365295410156, 45.45936819668734, 64.00000333786011, 3.16280267725233, 45.78709991130496, 53.06534063207872, 20.89896649122238, NA, 99.3131584153403, -0.3993091553411432, 2.0827724933624268,75.79407095909119, True
0.3, 3.9674597792327404, 2027.4599609375, -65.21887969970703, 53.22654940318365, 64.00000333786011, 2.6072254695463926, 54.38023389214646, 60.51734856447173, 17.555199563503265, NA, 99.21753261136571, -1.0924170879889061, 2.1608805656433105,81.26164972782135, True
0.25, 4.131520166993141, 2191.52001953125, -75.2715835571289, 56.16362400569673, 64.00000333786011, 2.396929412498139, 57.65898670722949, 63.659991177375076, 16.18165224790573, NA, 99.17770012404179, -1.3827059945015208, 2.189527988433838,83.2669660449028, True
0.2, 4.228080157190561, 2288.080078125, -80.85398864746094, 57.84271570310039, 64.00000333786011, 2.2766377514926717, 59.54689131974655, 65.51118368498823, 15.37952870130539, NA, 99.16454470895651, -1.5611166759299522, 2.2061400413513184,84.42980796098709, True
0.15, 4.305900074541569, 2365.89990234375, -85.24498748779297, 59.187648137591694, 64.00000333786011, 2.180297378799878, 61.06255115669207, 67.00044845608751, 14.734473824501038, NA, 99.14200617208712, -1.7037611769410432, 2.219646692276001,85.37526428699493, True
0.1, 4.3762000277638435, 2436.199951171875, -89.09799194335938, 60.39490285385195, 64.00000333786011, 2.094326337100938, 62.42400477087428, 68.33806703647934, 14.157722890377045, NA, 99.12340107502888, -1.8407534184916585, 2.231956720352173,86.23697608709335, True
0.05, 4.4418200850486755, 2501.820068359375, -92.60550689697266, 61.512215843034156, 64.00000333786011, 2.0145629241596907, 63.687100415254044, 69.5831801953166, 13.62103521823883, NA, 99.1142596730097, -1.9675128726248658, 2.2435290813446045,87.0470181107521, True
