Name    , value    , target   , cost     ,% tot, [% base costs], total = 3.218441e-01
EDV_la  ,5.599e-05 ,4.1e-05   ,1.337e-01 , 42  , 
ESV_la  ,1.464e-05 ,1.2e-05   ,4.846e-02 , 15  , 
Qdot_mv ,3.546e-01 ,<0.3      ,3.318e-02 , 10  , 
CO      ,9.066e-05 ,9.6e-05   ,3.091e-02 , 10  , 
Q_MV_f  ,2.298e+00 ,<2        ,2.227e-02 , 07  , 
ESV     ,3.384e-05 ,6e-05     ,1.901e-02 , 06  , 
BPk     ,3.028e+03 ,2.67e+03  ,1.837e-02 , 06  , 
Ppad    ,1.270e+03 ,1.17e+03  ,6.855e-03 , 02  , 
EDV     ,1.188e-04 ,0.00015   ,4.313e-03 , 01  , 
SL_min  ,1.648e+00 ,1.75      ,3.418e-03 , 01  , 
Ppv     ,1.144e+03 ,1.07e+03  ,5.316e-04 , 00  , 
Ppas    ,2.675e+03 ,2.73e+03  ,4.462e-04 , 00  , 
BPd     ,1.061e+04 ,1.07e+04  ,2.446e-04 , 00  , 
SL_max  ,2.178e+00 ,2.2       ,1.001e-04 , 00  , 
BPs     ,1.600e+04 ,1.6e+04   ,4.367e-07 , 00  , 
HR      ,1.067e+00 ,1.07      ,2.720e-14 , 00  , 
q_mv_sad,5.671e-05 ,>0        ,0.000e+00 , 00  , 
PWV     ,5.416e+00 ,>5        ,0.000e+00 , 00  , 
