Name    , value    , target   , cost     ,% tot, [% base costs], total = 6.370419e-01
Qdot_mv ,4.279e-01 ,<0.3      ,1.817e-01 , 29  , 
ESV     ,3.448e-05 ,6e-05     ,1.809e-01 , 28  , 
Q_MV_f  ,1.000e+00 ,>1.5      ,1.111e-01 , 17  , 
EDV_la  ,4.990e-05 ,4.1e-05   ,4.712e-02 , 07  , 
EDV     ,1.194e-04 ,0.00015   ,4.152e-02 , 07  , 
CO      ,9.061e-05 ,9.6e-05   ,3.155e-02 , 05  , 
BPd     ,1.018e+04 ,1.07e+04  ,2.083e-02 , 03  , 
BPs     ,1.556e+04 ,1.6e+04   ,7.608e-03 , 01  , 
ESV_la  ,1.285e-05 ,1.2e-05   ,5.076e-03 , 01  , 
Ppv     ,1.277e+03 ,1.07e+03  ,3.905e-03 , 01  , 
BPk     ,2.825e+03 ,2.67e+03  ,3.537e-03 , 01  , 
Ppad    ,1.313e+03 ,1.17e+03  ,1.426e-03 , 00  , 
Ppas    ,2.956e+03 ,2.73e+03  ,6.674e-04 , 00  , 
HR      ,1.067e+00 ,1.07      ,2.720e-15 , 00  , 
q_mv_sad,8.365e-05 ,>0        ,0.000e+00 , 00  , 
SL_max  ,2.192e+00 ,2.2       ,0.000e+00 , 00  , 
SL_min  ,1.675e+00 ,1.75      ,0.000e+00 , 00  , 
PWV     ,5.416e+00 ,>5        ,0.000e+00 , 00  , 
